dataset,time,Calculated,totalCalls,Percent Pruned,dtwCallsPerEpoch,timePerEpoch,n,slength,adjusted Mutual information,adjusted Rand index,Homogeneity,Completeness,Fowlkes Mallows,Rand index
CricketX,1.433786153793335,66553,93600,28.896367521367516,"[9360, 7370, 7405, 7021, 6730, 6426, 5984, 5886, 5202, 5169]","[0.18890881538391113, 0.15951180458068848, 0.13861513137817383, 0.12868189811706543, 0.13204312324523926, 0.14540600776672363, 0.14075112342834473, 0.13657689094543457, 0.1235809326171875, 0.13452601432800293]",780,300,0.2691940478537206,0.13671931139974589,0.2910408359987188,0.2958514589923727,0.21067547742908413,0.8648234093676969
CricketY,1.341904878616333,62976,93600,32.71794871794872,"[9360, 6974, 6443, 7305, 6771, 5848, 5896, 5417, 4643, 4319]","[0.15835213661193848, 0.1376049518585205, 0.15154099464416504, 0.13918685913085938, 0.13517999649047852, 0.1301887035369873, 0.12726712226867676, 0.12017202377319336, 0.11395096778869629, 0.12287592887878418]",780,300,0.28013449675922686,0.1381679973058746,0.29893261901070856,0.31028515462428363,0.21573292170890354,0.8590928540864357
CricketZ,1.341994047164917,64240,93600,31.367521367521366,"[9360, 7492, 7071, 6716, 6320, 6131, 5695, 5511, 5243, 4701]","[0.16440320014953613, 0.14539098739624023, 0.13309812545776367, 0.1240999698638916, 0.12116885185241699, 0.12853503227233887, 0.12203001976013184, 0.12678289413452148, 0.12966227531433105, 0.141679048538208]",780,300,0.2227833761322204,0.10112912865384104,0.24457272609030586,0.2536585778704121,0.18181141089207498,0.8531384747045851
Crop,29.176321744918823,2164666,5760000,62.41899305555556,"[576000, 221798, 193966, 174647, 174241, 172446, 166271, 165582, 159138, 160577]","[3.192824125289917, 2.8932619094848633, 2.881294012069702, 2.8825888633728027, 2.9632692337036133, 2.8464608192443848, 2.917548894882202, 2.8721630573272705, 2.8595211505889893, 2.855030059814453]",24000,46,0.49737538723241603,0.2674395256218318,0.4581836404412511,0.5470842951010286,0.3226480090083511,0.9169793533063878
DiatomSizeReduction,0.32360196113586426,6611,12880,48.6723602484472,"[1288, 612, 606, 596, 557, 596, 598, 616, 524, 618]","[0.04266476631164551, 0.03114604949951172, 0.03011608123779297, 0.03128314018249512, 0.030001163482666016, 0.02884817123413086, 0.029944896697998047, 0.03397703170776367, 0.032662153244018555, 0.0308380126953125]",322,345,0.36727241026339336,0.1519559301050653,0.23991863919480508,0.8592084465643641,0.5764062315091022,0.45693775275246223
DistalPhalanxOutlineAgeGroup,0.21631407737731934,9186,16170,43.191094619666046,"[1617, 846, 837, 829, 849, 838, 849, 849, 839, 833]","[0.022927045822143555, 0.021057844161987305, 0.021310091018676758, 0.021183013916015625, 0.02183818817138672, 0.021164894104003906, 0.021418094635009766, 0.021823883056640625, 0.020555973052978516, 0.021177291870117188]",539,80,0.3800810418212007,0.41379713099147014,0.34110348368875704,0.43289089482236964,0.6963878996881047,0.7069335338055466
DistalPhalanxOutlineCorrect,0.30935001373291016,15490,17520,11.58675799086758,"[1752, 1682, 1421, 1745, 1745, 1456, 1436, 1438, 1408, 1407]","[0.03236985206604004, 0.02867412567138672, 0.026073932647705078, 0.026445865631103516, 0.029145240783691406, 0.0299379825592041, 0.03378701210021973, 0.029532909393310547, 0.04138612747192383, 0.030323028564453125]",876,80,0.002564247901783225,0.0009040289862519637,0.003466068775570359,0.003346479078789368,0.5145493579122633,0.5005792563600783
DistalPhalanxTW,0.3491370677947998,18159,32340,43.849721706864564,"[3234, 1589, 1632, 1628, 1588, 1617, 1659, 1683, 1732, 1797]","[0.03875613212585449, 0.03325676918029785, 0.0339047908782959, 0.03374600410461426, 0.03408408164978027, 0.034667015075683594, 0.03435802459716797, 0.035089969635009766, 0.03466391563415527, 0.0346989631652832]",539,80,0.6293040054432608,0.7347838165183689,0.5687047092979978,0.7147554090065872,0.823969345081316,0.8829444586215696
DodgerLoopDay,0.22766804695129395,6320,11060,42.85714285714286,"[1106, 563, 620, 623, 624, 586, 534, 585, 554, 525]","[0.028012990951538086, 0.021206140518188477, 0.022095918655395508, 0.02198624610900879, 0.02280402183532715, 0.02132391929626465, 0.02169203758239746, 0.02187800407409668, 0.021270036697387695, 0.02272200584411621]",158,288,0.2764002961734855,0.15289375330481383,0.2364273486553389,0.4142512413759049,0.35163212415944667,0.6755623639442071
DodgerLoopGame,0.12484598159790039,3040,3160,3.797468354430378,"[316, 309, 298, 314, 307, 298, 296, 315, 315, 272]","[0.014499187469482422, 0.012006282806396484, 0.012978076934814453, 0.0135040283203125, 0.012775182723999023, 0.012572050094604492, 0.011443853378295898, 0.011770009994506836, 0.011098861694335938, 0.010789871215820312]",158,288,-0.0037989180958990757,-0.003006290468201784,0.001074509661695769,0.0012222992507468992,0.535500596825875,0.49810529710553897
